 frequency    ntf_gmc_fd_db ntf_ref_se_db
 2.48404e+04  3.58863e-02  3.71367e-02 
 2.54204e+04  3.42565e-02  3.54544e-02 
 2.60140e+04  3.27012e-02  3.38485e-02 
 2.66214e+04  3.12170e-02  3.23157e-02 
 2.72430e+04  2.98005e-02  3.08526e-02 
 2.78792e+04  2.84486e-02  2.94559e-02 
 2.85302e+04  2.71584e-02  2.81226e-02 
 2.91963e+04  2.59270e-02  2.68499e-02 
 2.98781e+04  2.47516e-02  2.56349e-02 
 3.05757e+04  2.36298e-02  2.44751e-02 
 3.12897e+04  2.25591e-02  2.33679e-02 
 3.20203e+04  2.15370e-02  2.23110e-02 
 3.27680e+04  2.05615e-02  2.13019e-02 
